Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-05-31,20MICRONS,EQ,63.65,64.65,66.3,63.0,64.4,64.1,64.65,257439,1664345290000.0,2486,133594,0.5189
2021-06-01,20MICRONS,EQ,64.1,65.95,65.95,58.75,59.45,59.35,60.35,456527,2754981455000.0,4260,259809,0.5690999999999999
2021-06-02,20MICRONS,EQ,59.35,59.95,61.9,59.5,60.95,60.7,60.48,374552,2265165660000.0,2863,168205,0.4491
2021-06-03,20MICRONS,EQ,60.7,62.25,64.35,61.1,62.4,62.55,62.8,402397,2527050920000.0,3151,201977,0.5019
2021-06-04,20MICRONS,EQ,62.55,63.4,64.35,61.3,61.95,61.9,62.25,213663,1330021975000.0,1813,131248,0.6143
2021-06-07,20MICRONS,EQ,61.9,64.0,64.25,62.2,63.35,63.3,63.33,308284,1952363635000.0002,2627,164434,0.5334000000000001
2021-06-08,20MICRONS,EQ,63.3,63.95,69.5,63.6,66.15,66.0,66.96,790806,5295323255000.0,7124,323114,0.4086
2021-06-09,20MICRONS,EQ,66.0,66.0,70.0,60.7,62.8,62.65,65.0,979855,6368642095000.0,9139,558695,0.5702
2021-06-10,20MICRONS,EQ,62.65,64.0,66.5,63.6,65.2,65.1,65.17,331271,2158875635000.0002,4351,175360,0.5294
2021-06-11,20MICRONS,EQ,65.1,66.3,69.8,65.3,67.95,68.5,67.77,728832,4939258605000.0,5599,329174,0.4516
2021-06-14,20MICRONS,EQ,68.5,68.5,68.9,63.7,67.5,66.95,66.41,292224,1940685650000.0,3254,150619,0.5154
2021-06-15,20MICRONS,EQ,66.95,67.8,69.9,67.0,67.1,67.25,68.34,412007,2815771745000.0,4176,192924,0.4683
2021-06-16,20MICRONS,EQ,67.25,67.95,68.35,65.2,66.7,66.35,66.69,216399,1443182115000.0,3324,113281,0.5235000000000001
2021-06-17,20MICRONS,EQ,66.35,66.0,66.75,63.6,64.35,64.2,65.01,171260,1113358710000.0,2584,91618,0.535
2021-06-18,20MICRONS,EQ,64.2,64.8,65.5,60.0,62.5,62.0,62.18,199603,1241198980000.0,3367,116792,0.5851
2021-06-21,20MICRONS,EQ,62.0,60.75,64.1,59.85,64.0,63.55,62.64,125996,789203950000.0,2608,62996,0.5
2021-06-22,20MICRONS,EQ,63.55,64.5,65.15,62.55,62.9,62.95,63.52,156829,996140555000.0001,2599,82823,0.5281
2021-06-23,20MICRONS,EQ,62.95,63.8,64.2,61.8,62.15,62.05,62.74,121773,763983635000.0,2051,76978,0.6321
2021-06-24,20MICRONS,EQ,62.05,62.5,64.5,62.5,63.45,63.4,63.45,122549,777515365000.0,1554,79647,0.6498999999999999
2021-06-25,20MICRONS,EQ,63.4,64.0,64.15,62.4,62.95,62.5,62.95,60252,379277745000.0,991,37568,0.6235
2021-06-28,20MICRONS,EQ,62.5,63.0,65.5,63.0,63.95,63.35,64.38,211301,1360431805000.0,1780,130866,0.6193
2021-06-29,20MICRONS,EQ,63.35,65.5,65.7,59.5,61.0,60.4,61.97,398177,2467431045000.0,3590,298553,0.7498
2021-06-30,20MICRONS,EQ,60.4,61.1,61.95,59.75,60.0,60.15,60.94,158219,964146185000.0,2160,98950,0.6254
2021-07-01,20MICRONS,EQ,60.15,60.45,60.75,59.2,60.5,59.45,59.76,149027,890626710000.0,1902,101769,0.6829000000000001
2021-07-02,20MICRONS,EQ,59.45,59.5,60.45,58.15,59.75,58.95,59.06,178511,1054295550000.0,1943,120121,0.6729
2021-07-05,20MICRONS,EQ,58.95,59.15,60.75,58.75,59.45,59.85,59.76,219009,1308875375000.0,2482,134991,0.6164000000000001
2021-07-06,20MICRONS,EQ,59.85,59.9,63.9,59.9,62.1,61.4,62.46,345452,2157745870000.0,4158,171833,0.4974
2021-07-07,20MICRONS,EQ,61.4,61.65,62.9,60.7,62.1,61.75,61.9,120200,743993625000.0,1657,81565,0.6786
2021-07-08,20MICRONS,EQ,61.75,61.0,63.8,61.0,62.4,61.85,62.42,173059,1080187340000.0,2360,92820,0.5363
2021-07-09,20MICRONS,EQ,61.85,62.2,62.6,61.0,61.25,61.3,61.84,80536,498060520000.0,1559,50477,0.6268
2021-07-12,20MICRONS,EQ,61.3,61.3,65.5,61.3,64.5,64.25,64.34,433789,2791190960000.0,4682,271388,0.6256
2021-07-13,20MICRONS,EQ,64.25,65.05,66.75,65.0,66.0,65.8,65.96,343672,2266919520000.0,4210,212240,0.6176
2021-07-14,20MICRONS,EQ,65.8,66.7,66.7,63.25,64.75,64.6,64.92,186786,1212610190000.0,2783,101094,0.5412
2021-07-15,20MICRONS,EQ,64.6,64.95,66.7,64.0,64.25,64.55,65.25,267449,1745167939999.9998,3430,167392,0.6259
2021-07-16,20MICRONS,EQ,64.55,65.0,69.45,63.6,65.0,65.15,66.83,824427,5509830905000.0,7470,402530,0.4883
2021-07-19,20MICRONS,EQ,65.15,65.55,70.0,65.55,67.9,67.6,68.06,506566,3447909010000.0,5697,304292,0.6007
2021-07-20,20MICRONS,EQ,67.6,68.9,69.15,65.6,66.15,66.25,67.32,345355,2325031775000.0,4717,162378,0.47020000000000006
2021-07-22,20MICRONS,EQ,66.25,67.5,67.9,66.05,67.0,66.65,66.85,101745,680169910000.0,2034,60812,0.5977
2021-07-23,20MICRONS,EQ,66.65,67.5,67.55,64.6,65.0,65.05,65.72,176110,1157473040000.0,2460,132069,0.7499
2021-07-26,20MICRONS,EQ,65.05,65.4,65.8,63.35,64.0,63.95,64.58,114623,740277405000.0,2679,63363,0.5528000000000001
2021-07-27,20MICRONS,EQ,63.95,64.0,64.9,62.5,62.8,62.95,63.71,124095,790595090000.0,1709,89683,0.7227
2021-07-28,20MICRONS,EQ,62.95,63.8,63.8,60.2,63.4,62.85,62.02,110505,685338275000.0,1720,58846,0.5325
2021-07-29,20MICRONS,EQ,62.85,63.5,64.5,63.0,63.85,64.2,63.97,58880,376669935000.0,1118,32160,0.5462
2021-07-30,20MICRONS,EQ,64.2,64.0,68.65,62.7,66.2,66.5,66.35,505882,3356651175000.0,5094,238349,0.4712
2021-08-02,20MICRONS,EQ,66.5,66.7,68.4,66.2,66.5,66.6,67.05,191472,1283886260000.0,2267,116355,0.6077
2021-08-03,20MICRONS,EQ,66.6,67.5,69.9,65.55,67.6,67.45,68.43,581423,3978674560000.0,5536,333911,0.5743
2021-08-04,20MICRONS,EQ,67.45,68.4,69.05,65.0,66.2,65.9,67.07,177188,1188471595000.0,2580,109874,0.6201
2021-08-05,20MICRONS,EQ,65.9,66.5,66.5,63.5,64.25,63.75,64.29,112842,725421910000.0,1591,73164,0.6484000000000001
2021-08-06,20MICRONS,EQ,63.75,64.2,66.6,64.0,66.4,66.25,65.64,102939,675721775000.0,1528,69821,0.6783
2021-08-09,20MICRONS,EQ,66.25,67.4,67.4,63.25,63.8,63.9,65.07,88957,578883440000.0,1565,60196,0.6767000000000001
2021-08-10,20MICRONS,EQ,63.9,65.45,65.45,59.0,60.2,60.3,61.99,202877,1257614605000.0,3524,132936,0.6553
2021-08-11,20MICRONS,EQ,60.3,60.5,62.3,55.7,58.75,58.55,58.43,183779,1073878544999.9999,3253,94761,0.5156000000000001
2021-08-12,20MICRONS,EQ,58.55,58.6,61.8,58.55,61.75,61.15,60.34,67303,406088560000.0,1205,37686,0.5599000000000001
2021-08-13,20MICRONS,EQ,61.15,62.5,62.5,59.55,59.85,59.9,60.61,102672,622282875000.0,1406,63278,0.6163000000000001
2021-08-16,20MICRONS,EQ,59.9,59.5,61.2,58.15,58.75,58.6,59.1,66623,393763455000.0,1140,46182,0.6931999999999999
2021-08-17,20MICRONS,EQ,58.6,58.4,58.9,55.6,56.3,57.1,56.87,103961,591265445000.0,1643,65894,0.6338
2021-08-18,20MICRONS,EQ,57.1,56.5,58.0,53.4,54.35,54.35,55.43,112212,622002875000.0,1616,77996,0.6951
2021-08-20,20MICRONS,EQ,54.35,54.25,54.25,52.5,54.0,52.9,53.14,73665,391467655000.0,1262,44847,0.6088
2021-08-23,20MICRONS,EQ,52.9,53.8,54.55,48.45,49.1,49.45,50.7,151801,769681410000.0,2298,97559,0.6426999999999999
2021-08-24,20MICRONS,EQ,49.45,50.8,54.15,49.8,53.0,52.95,52.08,107584,560315430000.0,1639,63612,0.5913
2021-08-25,20MICRONS,EQ,52.95,54.0,54.6,52.5,53.2,53.3,53.58,49927,267508340000.0,1122,27561,0.552
2021-08-26,20MICRONS,EQ,53.3,53.3,54.5,51.6,52.8,52.75,53.08,65185,345973675000.0,1210,35607,0.5462
2021-08-27,20MICRONS,EQ,52.75,52.0,54.1,52.0,53.1,53.45,53.36,60075,320553630000.0,803,36196,0.6025
2021-08-30,20MICRONS,EQ,53.45,53.5,54.85,52.45,54.15,53.4,53.9,87085,469366395000.0,1268,54809,0.6294
2021-08-31,20MICRONS,EQ,53.4,54.9,54.9,53.6,53.75,53.85,54.15,44967,243490390000.0,1360,27414,0.6096
2021-09-01,20MICRONS,EQ,53.85,54.7,54.7,53.1,53.85,53.95,53.77,51111,274826120000.00003,1307,28822,0.5639000000000001
2021-09-02,20MICRONS,EQ,53.95,54.5,55.05,53.4,53.9,53.85,54.13,42021,227459870000.00003,926,23702,0.5640999999999999
